add_user 1 30 Up
add_user 2 20 Fan
upload_video 1 900 tech
send_comment 2 900 1 clean_1
send_comment 2 900 2 spamspam_2
send_comment 2 900 3 clean_3
send_comment 2 900 4 spamspam_4
send_comment 2 900 5 clean_5
send_comment 2 900 6 spamspam_6
send_comment 2 900 7 clean_7
send_comment 2 900 8 spamspam_8
send_comment 2 900 9 clean_9
send_comment 2 900 10 spamspam_10
send_comment 2 900 11 clean_11
send_comment 2 900 12 spamspam_12
send_comment 2 900 13 clean_13
send_comment 2 900 14 spamspam_14
send_comment 2 900 15 clean_15
send_comment 2 900 16 spamspam_16
send_comment 2 900 17 clean_17
send_comment 2 900 18 spamspam_18
send_comment 2 900 19 clean_19
send_comment 2 900 20 spamspam_20
send_comment 2 900 21 clean_21
send_comment 2 900 22 spamspam_22
send_comment 2 900 23 clean_23
send_comment 2 900 24 spamspam_24
send_comment 2 900 25 clean_25
send_comment 2 900 26 spamspam_26
send_comment 2 900 27 clean_27
send_comment 2 900 28 spamspam_28
send_comment 2 900 29 clean_29
send_comment 2 900 30 spamspam_30
send_comment 2 900 31 clean_31
send_comment 2 900 32 spamspam_32
send_comment 2 900 33 clean_33
send_comment 2 900 34 spamspam_34
send_comment 2 900 35 clean_35
send_comment 2 900 36 spamspam_36
send_comment 2 900 37 clean_37
send_comment 2 900 38 spamspam_38
send_comment 2 900 39 clean_39
send_comment 2 900 40 spamspam_40
send_comment 2 900 41 clean_41
send_comment 2 900 42 spamspam_42
send_comment 2 900 43 clean_43
send_comment 2 900 44 spamspam_44
send_comment 2 900 45 clean_45
send_comment 2 900 46 spamspam_46
send_comment 2 900 47 clean_47
send_comment 2 900 48 spamspam_48
send_comment 2 900 49 clean_49
send_comment 2 900 50 spamspam_50
send_comment 2 900 51 clean_51
send_comment 2 900 52 spamspam_52
send_comment 2 900 53 clean_53
send_comment 2 900 54 spamspam_54
send_comment 2 900 55 clean_55
send_comment 2 900 56 spamspam_56
send_comment 2 900 57 clean_57
send_comment 2 900 58 spamspam_58
send_comment 2 900 59 clean_59
send_comment 2 900 60 spamspam_60
send_comment 2 900 61 clean_61
send_comment 2 900 62 spamspam_62
send_comment 2 900 63 clean_63
send_comment 2 900 64 spamspam_64
send_comment 2 900 65 clean_65
send_comment 2 900 66 spamspam_66
send_comment 2 900 67 clean_67
send_comment 2 900 68 spamspam_68
send_comment 2 900 69 clean_69
send_comment 2 900 70 spamspam_70
send_comment 2 900 71 clean_71
send_comment 2 900 72 spamspam_72
send_comment 2 900 73 clean_73
send_comment 2 900 74 spamspam_74
send_comment 2 900 75 clean_75
send_comment 2 900 76 spamspam_76
send_comment 2 900 77 clean_77
send_comment 2 900 78 spamspam_78
send_comment 2 900 79 clean_79
send_comment 2 900 80 spamspam_80
send_comment 2 900 81 clean_81
send_comment 2 900 82 spamspam_82
send_comment 2 900 83 clean_83
send_comment 2 900 84 spamspam_84
send_comment 2 900 85 clean_85
send_comment 2 900 86 spamspam_86
send_comment 2 900 87 clean_87
send_comment 2 900 88 spamspam_88
send_comment 2 900 89 clean_89
send_comment 2 900 90 spamspam_90
send_comment 2 900 91 clean_91
send_comment 2 900 92 spamspam_92
send_comment 2 900 93 clean_93
send_comment 2 900 94 spamspam_94
send_comment 2 900 95 clean_95
send_comment 2 900 96 spamspam_96
send_comment 2 900 97 clean_97
send_comment 2 900 98 spamspam_98
send_comment 2 900 99 clean_99
send_comment 2 900 100 spamspam_100
send_comment 2 900 101 clean_101
send_comment 2 900 102 spamspam_102
send_comment 2 900 103 clean_103
send_comment 2 900 104 spamspam_104
send_comment 2 900 105 clean_105
send_comment 2 900 106 spamspam_106
send_comment 2 900 107 clean_107
send_comment 2 900 108 spamspam_108
send_comment 2 900 109 clean_109
send_comment 2 900 110 spamspam_110
send_comment 2 900 111 clean_111
send_comment 2 900 112 spamspam_112
send_comment 2 900 113 clean_113
send_comment 2 900 114 spamspam_114
send_comment 2 900 115 clean_115
send_comment 2 900 116 spamspam_116
send_comment 2 900 117 clean_117
send_comment 2 900 118 spamspam_118
send_comment 2 900 119 clean_119
send_comment 2 900 120 spamspam_120
send_comment 2 900 121 clean_121
send_comment 2 900 122 spamspam_122
send_comment 2 900 123 clean_123
send_comment 2 900 124 spamspam_124
send_comment 2 900 125 clean_125
send_comment 2 900 126 spamspam_126
send_comment 2 900 127 clean_127
send_comment 2 900 128 spamspam_128
send_comment 2 900 129 clean_129
send_comment 2 900 130 spamspam_130
send_comment 2 900 131 clean_131
send_comment 2 900 132 spamspam_132
send_comment 2 900 133 clean_133
send_comment 2 900 134 spamspam_134
send_comment 2 900 135 clean_135
send_comment 2 900 136 spamspam_136
send_comment 2 900 137 clean_137
send_comment 2 900 138 spamspam_138
send_comment 2 900 139 clean_139
send_comment 2 900 140 spamspam_140
send_comment 2 900 141 clean_141
send_comment 2 900 142 spamspam_142
send_comment 2 900 143 clean_143
send_comment 2 900 144 spamspam_144
send_comment 2 900 145 clean_145
send_comment 2 900 146 spamspam_146
send_comment 2 900 147 clean_147
send_comment 2 900 148 spamspam_148
send_comment 2 900 149 clean_149
send_comment 2 900 150 spamspam_150
send_comment 2 900 151 clean_151
send_comment 2 900 152 spamspam_152
send_comment 2 900 153 clean_153
send_comment 2 900 154 spamspam_154
send_comment 2 900 155 clean_155
send_comment 2 900 156 spamspam_156
send_comment 2 900 157 clean_157
send_comment 2 900 158 spamspam_158
send_comment 2 900 159 clean_159
send_comment 2 900 160 spamspam_160
send_comment 2 900 161 clean_161
send_comment 2 900 162 spamspam_162
send_comment 2 900 163 clean_163
send_comment 2 900 164 spamspam_164
send_comment 2 900 165 clean_165
send_comment 2 900 166 spamspam_166
send_comment 2 900 167 clean_167
send_comment 2 900 168 spamspam_168
send_comment 2 900 169 clean_169
send_comment 2 900 170 spamspam_170
send_comment 2 900 171 clean_171
send_comment 2 900 172 spamspam_172
send_comment 2 900 173 clean_173
send_comment 2 900 174 spamspam_174
send_comment 2 900 175 clean_175
send_comment 2 900 176 spamspam_176
send_comment 2 900 177 clean_177
send_comment 2 900 178 spamspam_178
send_comment 2 900 179 clean_179
send_comment 2 900 180 spamspam_180
send_comment 2 900 181 clean_181
send_comment 2 900 182 spamspam_182
send_comment 2 900 183 clean_183
send_comment 2 900 184 spamspam_184
send_comment 2 900 185 clean_185
send_comment 2 900 186 spamspam_186
send_comment 2 900 187 clean_187
send_comment 2 900 188 spamspam_188
send_comment 2 900 189 clean_189
send_comment 2 900 190 spamspam_190
send_comment 2 900 191 clean_191
send_comment 2 900 192 spamspam_192
send_comment 2 900 193 clean_193
send_comment 2 900 194 spamspam_194
send_comment 2 900 195 clean_195
send_comment 2 900 196 spamspam_196
send_comment 2 900 197 clean_197
send_comment 2 900 198 spamspam_198
send_comment 2 900 199 clean_199
send_comment 2 900 200 spamspam_200
send_comment 2 900 201 clean_201
send_comment 2 900 202 spamspam_202
send_comment 2 900 203 clean_203
send_comment 2 900 204 spamspam_204
send_comment 2 900 205 clean_205
send_comment 2 900 206 spamspam_206
send_comment 2 900 207 clean_207
send_comment 2 900 208 spamspam_208
send_comment 2 900 209 clean_209
send_comment 2 900 210 spamspam_210
send_comment 2 900 211 clean_211
send_comment 2 900 212 spamspam_212
send_comment 2 900 213 clean_213
